"customer_id","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome"
"1","telephone","may","mon","261","1","999","0","nonexistent"
"2","telephone","may","mon","149","1","999","0","nonexistent"
"3","telephone","may","mon","226","1","999","0","nonexistent"
"4","telephone","may","mon","151","1","999","0","nonexistent"
"5","telephone","may","mon","307","1","999","0","nonexistent"
"6","telephone","may","mon","198","1","999","0","nonexistent"
"7","telephone","may","mon","139","1","999","0","nonexistent"
"8","telephone","may","mon","217","1","999","0","nonexistent"
"9","telephone","may","mon","380","1","999","0","nonexistent"
"10","telephone","may","mon","50","1","999","0","nonexistent"
"11","telephone","may","mon","55","1","999","0","nonexistent"
"12","telephone","may","mon","222","1","999","0","nonexistent"
"13","telephone","may","mon","137","1","999","0","nonexistent"
"14","telephone","may","mon","293","1","999","0","nonexistent"
"15","telephone","may","mon","146","1","999","0","nonexistent"
"16","telephone","may","mon","174","1","999","0","nonexistent"
"17","telephone","may","mon","312","1","999","0","nonexistent"
"18","telephone","may","mon","440","1","999","0","nonexistent"
"19","telephone","may","mon","353","1","999","0","nonexistent"
"20","telephone","may","mon","195","1","999","0","nonexistent"
"21","telephone","may","mon","38","1","999","0","nonexistent"
"22","telephone","may","mon","262","1","999","0","nonexistent"
"23","telephone","may","mon","342","1","999","0","nonexistent"
"24","telephone","may","mon","181","1","999","0","nonexistent"
"25","telephone","may","mon","172","1","999","0","nonexistent"
"26","telephone","may","mon","99","1","999","0","nonexistent"
"27","telephone","may","mon","93","1","999","0","nonexistent"
"28","telephone","may","mon","233","1","999","0","nonexistent"
"29","telephone","may","mon","255","2","999","0","nonexistent"
"30","telephone","may","mon","362","1","999","0","nonexistent"
"31","telephone","may","mon","348","1","999","0","nonexistent"
"32","telephone","may","mon","386","1","999","0","nonexistent"
"33","telephone","may","mon","73","1","999","0","nonexistent"
"34","telephone","may","mon","230","1","999","0","nonexistent"
"35","telephone","may","mon","208","1","999","0","nonexistent"
"36","telephone","may","mon","336","1","999","0","nonexistent"
"37","telephone","may","mon","365","1","999","0","nonexistent"
"38","telephone","may","mon","1666","1","999","0","nonexistent"
"39","telephone","may","mon","577","1","999","0","nonexistent"
"40","telephone","may","mon","137","1","999","0","nonexistent"
"41","telephone","may","mon","366","1","999","0","nonexistent"
"42","telephone","may","mon","314","1","999","0","nonexistent"
"43","telephone","may","mon","160","1","999","0","nonexistent"
"44","telephone","may","mon","212","1","999","0","nonexistent"
"45","telephone","may","mon","188","1","999","0","nonexistent"
"46","telephone","may","mon","22","1","999","0","nonexistent"
"47","telephone","may","mon","616","1","999","0","nonexistent"
"48","telephone","may","mon","178","1","999","0","nonexistent"
"49","telephone","may","mon","355","1","999","0","nonexistent"
"50","telephone","may","mon","225","2","999","0","nonexistent"
"51","telephone","may","mon","160","1","999","0","nonexistent"
"52","telephone","may","mon","266","1","999","0","nonexistent"
"53","telephone","may","mon","253","1","999","0","nonexistent"
"54","telephone","may","mon","179","1","999","0","nonexistent"
"55","telephone","may","mon","269","2","999","0","nonexistent"
"56","telephone","may","mon","135","1","999","0","nonexistent"
"57","telephone","may","mon","161","1","999","0","nonexistent"
"58","telephone","may","mon","787","1","999","0","nonexistent"
"59","telephone","may","mon","145","1","999","0","nonexistent"
"60","telephone","may","mon","174","1","999","0","nonexistent"
"61","telephone","may","mon","449","1","999","0","nonexistent"
"62","telephone","may","mon","812","1","999","0","nonexistent"
"63","telephone","may","mon","164","1","999","0","nonexistent"
"64","telephone","may","mon","366","1","999","0","nonexistent"
"65","telephone","may","mon","357","1","999","0","nonexistent"
"66","telephone","may","mon","232","1","999","0","nonexistent"
"67","telephone","may","mon","91","1","999","0","nonexistent"
"68","telephone","may","mon","273","1","999","0","nonexistent"
